Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191  9180   4208830.090   2334850.576   4171267.391      8.333   2.282   0.141   2.423
2017 191  9210   4208830.090   2334850.576   4171267.391      8.170   2.282   0.141   2.423
2017 191  9240   4208830.090   2334850.576   4171267.391      8.076   2.282   0.141   2.423
2017 191  9270   4208830.090   2334850.576   4171267.391      7.772   2.282   0.140   2.423
2017 191  9300   4208830.090   2334850.575   4171267.391      7.602   2.282   0.140   2.423
2017 191  9330   4208830.090   2334850.575   4171267.391      7.568   2.282   0.140   2.423
2017 191  9360   4208830.090   2334850.574   4171267.391      7.566   2.282   0.140   2.423
2017 191  9390   4208830.090   2334850.574   4171267.391      7.505   2.282   0.140   2.423
2017 191  9420   4208830.090   2334850.574   4171267.391      7.633   2.282   0.140   2.422
2017 191  9450   4208830.091   2334850.573   4171267.391      7.753   2.282   0.140   2.422
2017 191  9480   4208830.091   2334850.573   4171267.391      7.684   2.282   0.140   2.422
2017 191  9510   4208830.091   2334850.573   4171267.391      7.573   2.282   0.139   2.422
2017 191  9540   4208830.091   2334850.572   4171267.391      7.573   2.282   0.139   2.422
2017 191  9570   4208830.091   2334850.571   4171267.391      7.252   2.282   0.139   2.422
2017 191  9600   4208830.091   2334850.570   4171267.391      7.514   2.282   0.139   2.422
2017 191  9630   4208830.091   2334850.569   4171267.390      7.410   2.282   0.139   2.422
2017 191  9660   4208830.091   2334850.568   4171267.390      7.132   2.282   0.139   2.422
2017 191  9690   4208830.090   2334850.567   4171267.390      7.164   2.282   0.139   2.422
2017 191  9720   4208830.090   2334850.565   4171267.390      7.325   2.282   0.140   2.422
2017 191  9750   4208830.090   2334850.564   4171267.390      7.256   2.282   0.140   2.422
2017 191  9780   4208830.091   2334850.564   4171267.390      7.282   2.282   0.140   2.423
